id,cluster_id,risk_level,ghost_x,ghost_y,ghost_z,ghost_lat,ghost_lon,ghost_alt_km,orig_alt_km,drift_km
DEB-F04122,86,LOW,-2339.395596690877,-4541.239740234042,4432.8893104645485,40.95035718087442,-117.25501991808403,385.4521193159035,637.2168056337705,9247.334942712072
DEB-F04065,122,LOW,743.7373078289506,4313.15642771291,-5023.389828640176,-48.93481547462489,80.21643647246765,284.513292748632,595.6788086698161,10626.227509886794
DEB-F01731,190,LOW,2623.9634104812535,4213.182161170283,4275.567667082405,40.74180838688708,58.085412737836066,172.93671188482313,780.2620842517999,12695.000828620163
DEB-F04740,112,LOW,-659.2434945067307,4291.245360617896,-5448.777856609015,-51.45214967461626,98.73379572306777,588.8256711176509,647.0619038866243,1066.5465301822583
DEB-F06391,46,LOW,-1788.3750737591579,-4698.944814500786,-5478.245725432946,-47.45527626033763,-110.8363633463535,1057.5569153243296,952.054590951213,6145.828754766476
DEB-F04376,86,LOW,1944.2084619075417,4712.665015061632,-4893.925208387189,-43.830200885671566,67.58141983419412,688.6629853417626,586.1524910489097,9474.158993484112
DEB-F00576,232,MEDIUM,-3263.4045157800083,-366.0098753909267,6177.076675593969,62.00393740324296,-173.600686469108,617.5794406988425,808.9577768438758,14160.607497578469
DEB-F06838,-1,NOISE,6494.894340660851,-3275.4084260552445,-1516.9265188308868,-11.779591662144279,-26.76204302657382,1052.409340435167,1270.4733370352706,11681.61948586941
DEB-F04359,107,LOW,5939.807662250232,-538.5253094948655,2532.410355546026,23.006270469162335,-5.180487516444913,101.40208718589838,611.9718544725683,12322.483803753172
DEB-F00439,231,LOW,3546.6048735070203,4901.139126301179,3718.3836360779487,31.57627531688693,54.109422174880876,722.9859907104346,840.3385267466683,11718.85401003466
DEB-F02750,-1,NOISE,-3478.6372606159393,3824.0469937375337,-6685.425751452674,-52.286769908851056,132.29198462173133,2072.8493376676442,881.0825298962682,15614.944963925796
DEB-F04321,80,LOW,2390.092158124767,-3499.1601304312708,5030.031577114013,49.88767039245582,-55.66507283939815,198.93528252004126,572.9894392501355,9116.444912724743
DEB-F05270,87,LOW,1786.2343196928043,2110.7696142297673,5520.302676553123,63.393568260072215,49.76050194874196,-204.01981209664154,465.05620683521374,11729.810479763508
DEB-N09237,-1,NOISE,-4880.272433599371,4523.683221217838,-353.47855278595864,-3.0406759521461932,137.17156202936496,285.62440024216176,563.797208454388,13602.479005704934
DEB-S08634,-1,NOISE,3707.076753165988,3911.9148312694224,4749.5756787856835,41.38918073800283,46.540037250487785,805.4529680787628,876.3139987285467,10913.918663665156
DEB-F03728,127,LOW,-906.9076889365672,-493.24561738087095,-7107.763952597102,-81.73589997916457,-151.4592776334229,804.208104571102,899.6698012514407,308.395774084274
DEB-F00582,244,LOW,-3974.5100534305748,-433.7675728112315,6501.943512467665,58.41222576839052,-173.77154026311158,1254.6969371011883,824.2443449463472,6625.331853865983
